tick,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
981,0,0,19,60
982,0,0,19,96
983,0,0,75,40
984,0,0,340,13
985,0,0,576,0
986,0,0,955,0
987,0,0,994,0
988,0,0,581,4
989,0,0,258,2
990,0,0,56,42
991,0,0,7,55
992,4155,4332,11,80
993,0,0,19,26
994,0,0,16,9
995,0,0,41,7
996,0,0,30,46
997,0,0,13,35
998,0,0,14,28
999,0,0,19,26
1000,0,0,243,47
1001,0,0,591,2
1002,0,0,525,2
1003,0,0,430,2
1004,0,0,69,31
1005,0,0,33,12
1006,0,0,17,14
1007,0,0,44,19
1008,4155,4332,37,14
1009,0,0,204,1
1010,0,0,340,1
1011,0,0,385,10
1012,0,0,804,18
1013,0,0,927,0
1014,0,0,815,0
1015,0,0,414,6
1016,0,0,392,3
1017,0,0,212,4
1018,0,0,70,45
1019,0,0,10,135
1020,0,0,68,31
1021,0,0,8,81
1022,0,0,2,257
1023,0,0,4,133
1024,4155,4332,8,24
1025,0,0,5,13
1026,0,0,15,11
1027,0,0,7,41
1028,0,0,5,165
1029,0,0,21,57
1030,0,0,0,323
1031,0,0,1,247
1032,0,0,52,34
1033,0,0,39,11
1034,0,0,40,12
1035,0,0,16,15
1036,0,0,157,19
1037,0,0,164,2
1038,0,0,64,16
1039,0,0,14,36
1040,4155,4332,127,24
1041,0,0,21,103
1042,0,0,5,98
1043,0,0,4,133
1044,0,0,16,85
1045,0,0,15,45
1046,0,0,52,80
1047,0,0,0,353
1048,0,0,107,135
1049,0,0,158,4
1050,0,0,213,64
1051,0,0,4,121
1052,0,0,2,226
1053,0,0,12,54
1054,0,0,4,62
1055,0,0,7,65
1056,4155,4332,77,29
1057,0,0,70,6
1058,0,0,51,33
1059,0,0,5,64
1060,0,0,9,135
1061,0,0,3,88
1062,0,0,0,240
1063,0,0,3,72
1064,0,0,28,42
1065,0,0,12,12
1066,0,0,6,70
1067,0,0,8,21
1068,0,0,6,61
1069,0,0,9,27
1070,0,0,11,18
1071,0,0,6,111
1072,4155,4332,2,81
1073,0,0,8,64
1074,0,0,3,134
1075,0,0,23,252
1076,0,0,10,114
1077,0,0,1,297
1078,0,0,2,241
1079,0,0,3,183
1080,0,0,86,88
1081,0,0,207,9
1082,0,0,151,6
1083,0,0,143,5
1084,0,0,1025,1
1085,0,0,1049,1
1086,0,0,842,11
1087,0,0,459,11
1088,4155,4332,538,1
1089,0,0,818,1
1090,0,0,617,1
1091,0,0,429,3
1092,0,0,513,1
