,demand
1674,69924
1675,70428
1676,70112
1677,70500
1678,71128
1679,71288
1680,71716
1681,71420
1682,71572
1683,71388
1684,71316
1685,70880
1686,70340
1687,69824
1688,69820
1689,69948
1690,69616
1691,69060
1692,69148
1693,68776
1694,68560
1695,68248
1696,68256
1697,67932
1698,68324
1699,68744
1700,69504
1701,70360
1702,70964
1703,71284
1704,71088
1705,70404
1706,70024
1707,69804
1708,69236
1709,68728
1710,68592
1711,67944
1712,67044
1713,66364
1714,65216
1715,64312
1716,63528
1717,62856
1718,62644
1719,61836
1720,61476
1721,60872
1722,59784
1723,58720
1724,57712
1725,56864
1726,55704
1727,55024
1728,54192
1729,53348
1730,52332
1731,51888
1732,51780
1733,51736
1734,51624
1735,51272
1736,50944
1737,50476
1738,50580
1739,50668
1740,50624
1741,50684
1742,51468
1743,51736
1744,52252
1745,52544
1746,52968
1747,53132
1748,54460
1749,54836
1750,56620
1751,58024
1752,59980
1753,61912
1754,63644
1755,65308
1756,66412
1757,68076
1758,69440
1759,70304
1760,70748
1761,71180
1762,71268
1763,71512
1764,71532
1765,72212
1766,72604
1767,73044
1768,72828
1769,73076
1770,73136
1771,72540
1772,72008
1773,72748
1774,73456
1775,73232
1776,73104
1777,73544
1778,73580
1779,73936
1780,74252
1781,73836
1782,73504
1783,73052
1784,72876
1785,72888
1786,72812
1787,72672
1788,72684
1789,72388
1790,72572
1791,72552
1792,72140
1793,71904
1794,71908
1795,72728
1796,73416
1797,74000
1798,74452
1799,74828
1800,74588
1801,73956
1802,73688
1803,73312
1804,72660
1805,71764
1806,71180
1807,70560
1808,68624
1809,67984
1810,67356
1811,66932
1812,65724
1813,64824
1814,64088
1815,63116
1816,62736
1817,61820
1818,60536
1819,59672
1820,58392
1821,57884
1822,56744
1823,55968
1824,54980
1825,55056
1826,54380
1827,53272
1828,52916
1829,52460
1830,52300
1831,51992
1832,52052
1833,51940
1834,51816
1835,51844
1836,51596
1837,52368
1838,52412
1839,52288
1840,53204
1841,53824
1842,54100
1843,54812
1844,55296
1845,56276
1846,57900
1847,59316
1848,61624
1849,63840
1850,65796
1851,67472
1852,69104
1853,70364
1854,71768
1855,73204
1856,73264
1857,73280
1858,73764
1859,74284
1860,73224
1861,73216
1862,73460
1863,73624
1864,73292
1865,73228
1866,73092
1867,73776
1868,73928
1869,73984
1870,74016
1871,74192
1872,74116
1873,74268
1874,74320
1875,74116
1876,74368
1877,73632
1878,72900
1879,72096
1880,71860
1881,71684
1882,72016
1883,71464
1884,71668
1885,71600
1886,71560
1887,71324
1888,70816
1889,70136
1890,70736
1891,71708
1892,72844
1893,73732
1894,73844
1895,74028
1896,73272
1897,73096
1898,73000
1899,72560
1900,73040
1901,71896
1902,71156
1903,70200
1904,69236
1905,68448
1906,67384
1907,66704
1908,66116
1909,65052
1910,64152
1911,62912
1912,62952
1913,61864
1914,60828
1915,60580
1916,59100
1917,58296
1918,57108
1919,56500
1920,56020
1921,55520
1922,54804
1923,54164
1924,53540
1925,53104
1926,52752
1927,52648
1928,52384
1929,52108
1930,52288
1931,52624
1932,52568
1933,52484
1934,52320
1935,52628
1936,53184
1937,53264
1938,53552
1939,54000
1940,55292
1941,55892
1942,57344
1943,58828
1944,60884
1945,63036
1946,64460
1947,66228
1948,67524
1949,69120
1950,70188
1951,71080
1952,71720
1953,72028
1954,72568
1955,72776
1956,72580
1957,72372
1958,72948
1959,73168
1960,72864
1961,73000
1962,72708
1963,72768
1964,72628
1965,73072
1966,72832
1967,72464
1968,72212
1969,72212
1970,71876
1971,71468
1972,71140
1973,70968
1974,70380
1975,69968
1976,70048
1977,69740
1978,69412
1979,69052
1980,69360
1981,68764
1982,68952
1983,68588
1984,68484
1985,68216
1986,68648
1987,69540
1988,70268
1989,71588
1990,72304
1991,72580
1992,72484
1993,72036
1994,71248
1995,71040
1996,70600
1997,69484
1998,68892
1999,68212
2000,67108
2001,65860
2002,64996
2003,64088
2004,63120
2005,62440
2006,61732
2007,61048
2008,60252
2009,59832
2010,58788
2011,57996
2012,56740
2013,55892
2014,55156
2015,54664
2016,53496
2017,52532
2018,52108
2019,51472
2020,51012
2021,49952
2022,49772
2023,49312
2024,48996
2025,48372
2026,48344
2027,47828
2028,47932
2029,47756
2030,47592
2031,47644
2032,47632
2033,48000
2034,47760
2035,47792
2036,47860
2037,47780
2038,47384
2039,46980
2040,47940
2041,48420
2042,48936
2043,49540
2044,50236
2045,50764
2046,51324
2047,51752
2048,53328
2049,54280
2050,54848
2051,55892
2052,56376
2053,56976
2054,57764
2055,58420
2056,58652
2057,59112
2058,59396
2059,59972
2060,60264
2061,60540
2062,61144
2063,61172
2064,60784
2065,60648
2066,60536
2067,60168
2068,59560
2069,59064
2070,58436
2071,58280
2072,58336
2073,57888
2074,57816
2075,57596
2076,57324
2077,57092
2078,57192
2079,56944
2080,57012
2081,57228
2082,57288
2083,57948
2084,59332
2085,60400
2086,60908
2087,61168
2088,60948
2089,60768
2090,60688
2091,60340
2092,59620
2093,59288
2094,58564
2095,57580
2096,56556
2097,55220
2098,54296
