tick;SH;HH;NI;HB;NW;HE;RP;BW;BY;SL;BE;BB;MV;SN;ST;TH
4969;3,58079E-05;3,60581E-05;3,61177E-05;3,61064E-05;3,6799E-05;3,22726E-05;3,45166E-05;3,23419E-05;2,72637E-05;3,63951E-05;3,23626E-05;3,23626E-05;3,34194E-05;3,35131E-05;3,27244E-05;3,36188E-05
4970;3,58079E-05;3,60581E-05;3,61177E-05;3,61064E-05;3,6799E-05;3,22726E-05;3,45166E-05;3,23419E-05;2,72637E-05;3,63951E-05;3,23626E-05;3,23626E-05;3,34194E-05;3,35131E-05;3,27244E-05;3,36188E-05
4971;3,58079E-05;3,60581E-05;3,61177E-05;3,61064E-05;3,6799E-05;3,22726E-05;3,45166E-05;3,23419E-05;2,72637E-05;3,63951E-05;3,23626E-05;3,23626E-05;3,34194E-05;3,35131E-05;3,27244E-05;3,36188E-05
4972;3,55001E-05;3,57481E-05;3,58071E-05;3,5796E-05;3,64826E-05;3,066E-05;3,42198E-05;3,20639E-05;2,59021E-05;3,60822E-05;3,07455E-05;3,07455E-05;3,17494E-05;3,3225E-05;3,10892E-05;3,33298E-05
4973;3,55001E-05;3,57481E-05;3,58071E-05;3,5796E-05;3,64826E-05;3,066E-05;3,42198E-05;3,20639E-05;2,59021E-05;3,60822E-05;3,07455E-05;3,07455E-05;3,17494E-05;3,3225E-05;3,10892E-05;3,33298E-05
4974;3,55001E-05;3,57481E-05;3,58071E-05;3,5796E-05;3,64826E-05;3,066E-05;3,42198E-05;3,20639E-05;2,59021E-05;3,60822E-05;3,07455E-05;3,07455E-05;3,17494E-05;3,3225E-05;3,10892E-05;3,33298E-05
4975;3,55001E-05;3,57481E-05;3,58071E-05;3,5796E-05;3,64826E-05;3,066E-05;3,42198E-05;3,20639E-05;2,59021E-05;3,60822E-05;3,07455E-05;3,07455E-05;3,17494E-05;3,3225E-05;3,10892E-05;3,33298E-05
4976;3,4817E-05;3,50603E-05;3,51182E-05;3,51072E-05;3,57806E-05;3,12711E-05;3,35615E-05;3,14472E-05;2,64181E-05;3,53879E-05;3,13583E-05;3,13583E-05;3,23823E-05;3,25858E-05;3,17088E-05;3,26886E-05
4977;3,4817E-05;3,50603E-05;3,51182E-05;3,51072E-05;3,57806E-05;3,12711E-05;3,35615E-05;3,14472E-05;2,64181E-05;3,53879E-05;3,13583E-05;3,13583E-05;3,23823E-05;3,25858E-05;3,17088E-05;3,26886E-05
4978;3,4817E-05;3,50603E-05;3,51182E-05;3,51072E-05;3,57806E-05;3,12711E-05;3,35615E-05;3,14472E-05;2,64181E-05;3,53879E-05;3,13583E-05;3,13583E-05;3,23823E-05;3,25858E-05;3,17088E-05;3,26886E-05
4979;3,4817E-05;3,50603E-05;3,51182E-05;3,51072E-05;3,57806E-05;3,12711E-05;3,35615E-05;3,14472E-05;2,64181E-05;3,53879E-05;3,13583E-05;3,13583E-05;3,23823E-05;3,25858E-05;3,17088E-05;3,26886E-05
4980;3,21539E-05;3,23785E-05;3,24319E-05;3,24218E-05;3,30436E-05;2,84116E-05;3,09946E-05;2,90424E-05;2,40036E-05;3,2681E-05;2,84908E-05;2,84908E-05;2,94209E-05;3,00938E-05;2,88092E-05;3,01887E-05
4981;3,21539E-05;3,23785E-05;3,24319E-05;3,24218E-05;3,30436E-05;2,84116E-05;3,09946E-05;2,90424E-05;2,40036E-05;3,2681E-05;2,84908E-05;2,84908E-05;2,94209E-05;3,00938E-05;2,88092E-05;3,01887E-05
4982;3,21539E-05;3,23785E-05;3,24319E-05;3,24218E-05;3,30436E-05;2,84116E-05;3,09946E-05;2,90424E-05;2,40036E-05;3,2681E-05;2,84908E-05;2,84908E-05;2,94209E-05;3,00938E-05;2,88092E-05;3,01887E-05
