hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t1292," 2,101.93 ", 302.78 , 398.31 , 833.27 , 506.45 , 952.70 ," 12,059.49 "," 12,003.21 ", 396.14 , 233.46 , 474.76 , 203.10 
t1293," 2,066.37 ", 297.63 , 391.28 , 819.17 , 497.66 , 936.24 ," 11,855.60 "," 12,013.54 ", 388.30 , 229.42 , 466.35 , 199.51 
t1294," 2,051.94 ", 295.10 , 388.48 , 813.44 , 494.02 , 927.78 ," 11,772.89 "," 12,114.03 ", 384.37 , 227.34 , 462.99 , 197.98 
t1295," 2,027.56 ", 290.53 , 384.01 , 803.77 , 487.93 , 914.45 ," 11,633.04 "," 11,837.95 ", 377.70 , 224.06 , 457.66 , 195.33 
t1296," 2,023.44 ", 288.63 , 383.55 , 802.13 , 486.81 , 910.68 ," 11,609.41 "," 11,777.50 ", 374.57 , 223.13 , 457.12 , 194.59 
t1297," 2,027.94 ", 287.75 , 383.80 , 803.92 , 486.82 , 909.00 ," 11,635.25 "," 11,763.84 ", 373.44 , 222.71 , 457.39 , 194.57 
t1298," 2,039.97 ", 288.14 , 385.68 , 808.69 , 488.72 , 911.75 ," 11,704.29 "," 11,838.32 ", 374.23 , 223.37 , 459.61 , 195.36 
t1299," 2,061.30 ", 289.99 , 389.56 , 817.14 , 492.74 , 918.40 ," 11,826.62 "," 12,063.75 ", 376.14 , 224.99 , 464.23 , 197.25 
t1300," 2,114.08 ", 296.19 , 398.57 , 838.07 , 503.91 , 936.92 ," 12,129.29 "," 13,161.04 ", 383.45 , 229.51 , 474.94 , 201.91 
t1301," 2,185.34 ", 305.08 , 411.08 , 866.33 , 520.74 , 963.00 ," 12,538.10 "," 14,281.62 ", 395.06 , 235.88 , 489.82 , 208.60 
t1302," 2,263.59 ", 315.23 , 425.09 , 897.34 , 539.35 , 993.04 ," 12,987.19 "," 15,081.05 ", 408.85 , 243.22 , 506.44 , 216.23 
t1303," 2,311.75 ", 321.15 , 432.91 , 916.43 , 550.27 ," 1,009.97 "," 13,263.56 "," 15,236.52 ", 416.99 , 247.35 , 515.69 , 220.72 
t1304," 2,341.00 ", 324.43 , 437.07 , 928.02 , 556.62 ," 1,020.40 "," 13,431.52 "," 14,866.57 ", 421.83 , 249.89 , 520.54 , 223.49 
t1305," 2,324.22 ", 321.48 , 433.52 , 921.35 , 552.13 ," 1,011.31 "," 13,335.53 "," 14,155.52 ", 418.84 , 247.65 , 516.24 , 222.07 
t1306," 2,283.24 ", 315.17 , 425.14 , 905.08 , 541.35 , 993.28 ," 13,100.66 "," 13,541.60 ", 411.88 , 243.23 , 506.17 , 218.43 
t1307," 2,220.14 ", 306.53 , 412.94 , 880.05 , 525.46 , 965.73 ," 12,738.89 "," 12,774.05 ", 401.17 , 236.47 , 491.58 , 212.43 
t1308," 2,154.44 ", 298.16 , 400.29 , 853.98 , 509.83 , 937.80 ," 12,362.33 "," 12,122.82 ", 390.76 , 229.62 , 476.41 , 206.41 
t1309," 2,086.77 ", 289.33 , 388.74 , 827.13 , 494.25 , 909.48 ," 11,974.49 "," 11,677.98 ", 380.03 , 222.68 , 462.65 , 200.39 
t1310," 2,074.50 ", 288.34 , 388.30 , 822.24 , 491.73 , 905.01 ," 11,904.51 "," 11,336.97 ", 379.33 , 221.57 , 462.15 , 199.73 
t1311," 2,034.63 ", 282.68 , 382.41 , 806.41 , 482.06 , 887.64 ," 11,675.98 "," 11,020.09 ", 373.49 , 217.31 , 455.16 , 196.14 
t1312," 2,029.02 ", 282.05 , 382.56 , 804.17 , 480.61 , 886.10 ," 11,644.20 "," 10,902.24 ", 374.24 , 216.93 , 455.34 , 196.47 
t1313," 2,041.92 ", 283.92 , 385.62 , 809.26 , 483.58 , 892.51 ," 11,718.48 "," 10,954.16 ", 378.07 , 218.49 , 458.97 , 198.37 
