hour,21,22,23,24,25,26,41,42,71,72,73,74,75,76,81,82,83,84
t0095,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0096,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0097,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0098,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0101,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0102,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0103,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0104,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0105,0.000,0.000,0.000,0.002,0.002,0.002,0.005,0.005,0.003,0.003,0.003,0.003,0.003,0.003,0.002,0.002,0.002,0.002
t0106,0.004,0.004,0.004,0.041,0.022,0.022,0.067,0.067,0.030,0.030,0.030,0.030,0.030,0.030,0.013,0.013,0.013,0.013
t0107,0.014,0.015,0.015,0.103,0.058,0.058,0.186,0.186,0.094,0.094,0.094,0.094,0.094,0.094,0.034,0.034,0.034,0.034
t0108,0.019,0.025,0.025,0.149,0.094,0.094,0.288,0.288,0.163,0.163,0.163,0.163,0.163,0.163,0.047,0.047,0.047,0.047
t0109,0.022,0.033,0.033,0.165,0.120,0.120,0.338,0.338,0.217,0.217,0.217,0.217,0.217,0.217,0.046,0.046,0.046,0.046
t0110,0.018,0.037,0.037,0.162,0.124,0.124,0.321,0.321,0.209,0.209,0.209,0.209,0.209,0.209,0.036,0.036,0.036,0.036
t0111,0.009,0.029,0.029,0.125,0.105,0.105,0.244,0.244,0.134,0.134,0.134,0.134,0.134,0.134,0.022,0.022,0.022,0.022
t0112,0.002,0.010,0.010,0.051,0.047,0.047,0.120,0.120,0.053,0.053,0.053,0.053,0.053,0.053,0.007,0.007,0.007,0.007
t0113,0.000,0.002,0.002,0.007,0.006,0.006,0.016,0.016,0.004,0.004,0.004,0.004,0.004,0.004,0.000,0.000,0.000,0.000
t0114,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0116,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0118,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0122,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0123,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0124,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0126,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0128,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0129,0.000,0.000,0.000,0.002,0.007,0.007,0.010,0.010,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.003
t0130,0.005,0.006,0.006,0.031,0.056,0.056,0.116,0.116,0.047,0.047,0.047,0.047,0.047,0.047,0.044,0.044,0.044,0.044
